JAR Health Check Report
=======================

Duplicate Classes
-----------------
Duplicate classes, shadowed classes, and duplicate resources.

Class/Resource                                           | Sources                           | Similarity
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.TypeInfo                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.UserDataHandler                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.bootstrap.DOMImplementationRegistry          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.bootstrap.DOMImplementationRegistry$1        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.bootstrap.DOMImplementationRegistry$2        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.bootstrap.DOMImplementationRegistry$3        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.bootstrap.DOMImplementationRegistry$4        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSS2Properties                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSCharsetRule                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSFontFaceRule                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSImportRule                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSMediaRule                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSPageRule                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSPrimitiveValue                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSRule                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSRuleList                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSStyleDeclaration                      | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSStyleRule                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSStyleSheet                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSUnknownRule                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSValue                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.CSSValueList                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.Counter                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.DOMImplementationCSS                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.DocumentCSS                              | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.ElementCSSInlineStyle                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.RGBColor                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.Rect                                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.css.ViewCSS                                  | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.DocumentEvent                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.Event                                 | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.EventException                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.EventListener                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.EventTarget                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.MouseEvent                            | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.MutationEvent                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.events.UIEvent                               | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLAnchorElement                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLAppletElement                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLAreaElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLBRElement                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLBaseElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLBaseFontElement                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLBodyElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLButtonElement                       | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLCollection                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLDListElement                        | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLDOMImplementation                   | Runtime                           | Same API
                                                         | xercesImpl-2.11.0.jar (Classpath) |
org.w3c.dom.html.HTMLDirectoryElement                    | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLDivElement                          | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLDocument                            | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLElement                             | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLFieldSetElement                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLFontElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLFormElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLFrameElement                        | Runtime                           | Different API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLFrameSetElement                     | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLHRElement                           | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLHeadElement                         | Runtime                           | Same API
                                                         | xml-apis-1.4.01.jar (Classpath)   |
org.w3c.dom.html.HTMLHeadingElement                      | Runtime                           | Same API
